it,bt,km,transmission,ownerNo,oem,model,modelYear,price_in_lakhs,Insurance Validity,Fuel Type,Seats,Safety_count,top_features_count,Color,No of Cylinder,Turbo Charger,Super Charger,City,Power,Torque
0,Sedan,70000,Automatic,2,BMW,BMW 3 Series,2010,13.0,third party insurance,Diesel,5,25,9,Others,4.0,yes,no,Bangalore,181.0,380.0
0,Sedan,61993,Manual,1,Honda,Honda City,2015,6.72,comprehensive,Petrol,5,23,9,Silver,4.0,no,no,Bangalore,117.3,145.0
0,SUV,57000,Automatic,1,Hyundai,Hyundai Tucson,2017,18.25,comprehensive,Diesel,5,34,9,White,4.0,yes,no,Bangalore,182.46,400.11
0,SUV,80000,Manual,2,Toyota,Toyota Fortuner,2021,35.0,third party insurance,Diesel,7,35,9,Others,4.0,yes,no,Bangalore,174.5,420.0
0,Hatchback,36359,Manual,1,Hyundai,Hyundai i20,2013,4.4,comprehensive,Petrol,5,19,9,Blue,4.0,no,no,Bangalore,82.85,113.7
0,SUV,70000,Manual,2,Tata,Tata Harrier,2019,14.6,third party insurance,Diesel,5,35,9,Others,4.0,yes,no,Bangalore,138.1,350.0
0,SUV,7500,Automatic,1,MG,MG Hector,2022,20.41,comprehensive,Petrol,5,32,9,White,4.0,yes,no,Bangalore,141.0,250.0
0,Sedan,30301,Automatic,1,Hyundai,Hyundai Verna,2017,10.33,comprehensive,Petrol,5,31,9,Black,4.0,no,no,Bangalore,121.3,151.0
0,Hatchback,66000,Manual,1,Hyundai,Hyundai i10,2010,2.75,comprehensive,Petrol,5,11,9,Golden,4.0,no,no,Bangalore,78.9,111.8
0,Hatchback,56010,Manual,1,Hyundai,Hyundai i20,2017,6.76,comprehensive,Petrol,5,21,9,White,4.0,no,no,Bangalore,81.83,114.7
0,SUV,47000,Automatic,1,Mercedes-Benz,Mercedes-Benz GLC,2017,42.9,comprehensive,Diesel,5,32,9,White,4.0,yes,no,Bangalore,170.0,400.0
0,SUV,60000,Manual,2,Nissan,Nissan Terrano,2014,6.5,third party insurance,Diesel,5,22,9,Others,4.0,yes,no,Bangalore,108.5,248.0
0,Hatchback,83829,Manual,1,Maruti,Maruti Swift,2014,4.44,third party insurance,Diesel,5,21,9,Red,4.0,yes,no,Bangalore,74.0,190.0
0,Hatchback,10000,Automatic,1,Renault,Renault KWID,2020,5.1,third party insurance,Petrol,5,22,9,Others,3.0,no,no,Bangalore,67.0,91.0
0,SUV,35000,Automatic,2,Renault,Renault Duster,2016,9.25,comprehensive,Diesel,5,26,9,Grey,4.0,yes,no,Bangalore,108.45,245.0
0,Sedan,51116,Automatic,2,Honda,Honda City,2019,10.24,comprehensive,Petrol,5,28,9,White,4.0,no,no,Bangalore,117.6,145.0
0,Sedan,80000,Manual,3,Skoda,Skoda Rapid,2016,5.0,third party insurance,Diesel,5,20,9,Others,4.0,yes,no,Bangalore,103.52,250.0
0,Hatchback,40000,Automatic,2,Volkswagen,Volkswagen Polo,2017,9.95,third party insurance,Petrol,5,20,9,Others,4.0,yes,no,Bangalore,103.5,175.0
0,SUV,85565,Automatic,2,Honda,Honda CR-V,2012,9.35,comprehensive,Petrol,5,18,9,White,4.0,no,no,Bangalore,158.8,218.0
0,SUV,36916,Manual,1,Ford,Ford Ecosport,2018,8.34,comprehensive,Petrol,5,34,9,Others,3.0,no,no,Bangalore,121.36,150.0
0,Hatchback,90000,Manual,1,Volkswagen,Volkswagen Polo,2015,5.6,third party insurance,Diesel,5,20,9,Others,4.0,yes,no,Bangalore,88.8,230.0
0,Hatchback,112795,Manual,1,Maruti,Maruti Swift,2012,4.54,comprehensive,Petrol,5,26,9,Silver,4.0,no,no,Bangalore,88.5,113.0
0,Sedan,11000,Automatic,1,Mercedes-Benz,Mercedes-Benz A-Class Limousine,2021,36.9,comprehensive,Petrol,5,40,9,Silver,4.0,yes,no,Bangalore,160.92,250.0
0,MUV,120000,Manual,2,Toyota,Toyota Innova,2014,11.0,third party insurance,Petrol,7,19,9,Others,4.0,no,no,Bangalore,130.1,181.0
0,Hatchback,36685,Manual,2,Honda,Honda Brio,2016,4.62,comprehensive,Petrol,5,16,9,Red,4.0,no,no,Bangalore,86.8,109.0
0,SUV,120000,Automatic,2,Hyundai,Hyundai Santa Fe,2012,9.0,third party insurance,Diesel,7,21,9,Others,4.0,no,no,Bangalore,194.3,436.4
